표준코드,단축코드,한글종목명,한글종목약명,영문종목명,상장일,기초지수명,지수산출기관,추적배수,복제방법,기초시장분류,기초자산분류,상장좌수,운용사,CU수량,총보수,과세유형
"KR7410870000","410870","타임폴리오 TIMEFOLIO K컬처액티브증권상장지수투자신탁[주식]","TIMEFOLIO K컬처액티브","TIMEFOLIO TIMEFOLIO Kculture Active ETF","2021/12/15","FnGuide K-컬처 지수","FnGuide","일반 (1)","실물(액티브)","국내","주식","1200000","타임폴리오자산운용","100000","0.800","배당소득세(보유기간과세)"
"KR7426020004","426020","타임폴리오 TIMEFOLIO 미국S&P500액티브증권상장지수투자신탁[주식-파생형]","TIMEFOLIO 미국S&P500액티브","TIMEFOLIO TIMEFOLIO US S&P500 Active ETF","2022/05/11","S&P 500","S&P","일반 (1)","실물(액티브)","해외","주식","1000000","타임폴리오자산운용","20000","0.800","배당소득세(보유기간과세)"
"KR7426030003","426030","타임폴리오 TIMEFOLIO 미국나스닥100액티브증권상장지수투자신탁[주식-파생형]","TIMEFOLIO 미국나스닥100액티브","TIMEFOLIO TIMEFOLIO US NASDAQ100 Active ETF","2022/05/11","NASDAQ 100","NASDAQ","일반 (1)","실물(액티브)","해외","주식","1000000","타임폴리오자산운용","20000","0.800","배당소득세(보유기간과세)"
"KR7385710009","385710","타임폴리오 TIMEFOLIO 이노베이션액티브증권상장지수투자신탁[주식]","TIMEFOLIO 이노베이션액티브","TIMEFOLIO TIMEFOLIO Innovation Active ETF","2021/05/25","KRX BBIG K-뉴딜지수","KRX","일반 (1)","실물(액티브)","국내","주식","2500000","타임폴리오자산운용","100000","0.800","배당소득세(보유기간과세)"
"KR7404120008","404120","타임폴리오 TIMEFOLIO 탄소중립액티브증권상장지수투자신탁[주식]","TIMEFOLIO 탄소중립액티브","TIMEFOLIO TIMEFOLIO CarbonZero Active ETF","2021/10/29","KRX 기후변화 솔루션지수","KRX","일반 (1)","실물(액티브)","국내","주식","1500000","타임폴리오자산운용","100000","0.800","배당소득세(보유기간과세)"
"KR7168300002","168300","하나UBS KTOP KOSPI50 증권상장지수투자신탁[주식]","KTOP 코스피50","UBS Hana KTOP KOSPI50 ETF","2012/11/12","코스피 50","KRX","일반 (1)","실물(패시브)","국내","주식","840000","하나UBS자산운용","15000","0.300","비과세"
"KR7422260000","422260","한국밸류 VITA MZ소비액티브증권상장지수투자신탁(주식)","VITA MZ소비액티브","KIVAM VITA MZ consumption Active ETF","2022/03/29","FnGuide MZ 소비 지수","FnGuide","일반 (1)","실물(액티브)","국내","주식","1700000","한국투자밸류자산운용","50000","0.600","배당소득세(보유기간과세)"
"KR7332500008","332500","한국투자 ACE 200 Total Return증권상장지수투자신탁(주식)","ACE 200TR","KIM ACE 200TotalReturn ETF","2019/08/28","코스피 200 TR","KRX","일반 (1)","실물(패시브)","국내","주식","1400000","한국투자신탁운용","100000","0.030","배당소득세(보유기간과세)"
"KR7105190003","105190","한국투자 ACE 200 증권 상장지수투자신탁(주식)","ACE 200","KIM ACE 200 ETF","2008/09/25","코스피 200","KRX","일반 (1)","실물(패시브)","국내","주식","16550000","한국투자신탁운용","50000","0.090","비과세"
"KR7385590005","385590","한국투자 ACE ESG액티브증권상장지수투자신탁(주식)","ACE ESG액티브","KIM ACE ESG Active ETF","2021/05/25","MSCI Korea Country ESG Leaders Custom Capped Price return Index","MSCI","일반 (1)","실물(액티브)","국내","주식","3300000","한국투자신탁운용","100000","0.500","배당소득세(보유기간과세)"
"KR7380340000","380340","한국투자 ACE Fn5G플러스증권상장지수투자신탁(주식)","ACE Fn5G플러스","KIM ACE Fn5G Plus ETF","2021/04/02","FnGuide 5G플러스 지수 (시장가격)","FnGuide","일반 (1)","실물(패시브)","국내","주식","700000","한국투자신탁운용","100000","0.350","비과세"
"KR7414270009","414270","한국투자 ACE G2전기차&자율주행액티브증권상장지수투자신탁(주식)","ACE G2전기차&자율주행액티브","KIM ACE US-China Next EV&AV Active ETF","2022/02/15","FactSet US-China Electric&Autonomous Vehicle Price Return Index","FACTSET","일반 (1)","실물(액티브)","해외","주식","8500000","한국투자신탁운용","100000","0.290","배당소득세(보유기간과세)"
"KR7356540005","356540","한국투자 ACE KIS종합채권(AA-이상)액티브증권상장지수투자신탁(채권)","ACE 종합채권(AA-이상)KIS액티브","KIM ACE KIS Active Bond Composite ETF","2020/07/21","KIS 종합채권 AA-이상 총수익 지수(Total return Index)","KIS 채권평가","일반 (1)","실물(액티브)","국내","채권","1419000","한국투자신탁운용","1000","0.100","배당소득세(보유기간과세)"
"KR7411060007","411060","한국투자 ACE KRX금현물특별자산상장지수투자신탁(금)","ACE KRX금현물","KIM ACE KRX Physical Gold ETF","2021/12/15","KRX 금현물지수","KRX","일반 (1)","실물(패시브)","국내","원자재","3600000","한국투자신탁운용","100000","0.500","배당소득세(보유기간과세)"
"KR7277540001","277540","한국투자 ACE S&P아시아TOP50증권상장지수투자신탁(주식)","ACE 아시아TOP50S&P","KIM ACE S&P ASIA TOP50 ETF","2017/08/23","S&P ASIA50 Price Return Index","S&P","일반 (1)","실물(패시브)","국내&해외","주식","1650000","한국투자신탁운용","150000","0.700","배당소득세(보유기간과세)"
"KR7225130004","225130","한국투자 ACE 골드선물레버리지특별자산상장지수투자신탁(금-파생형)(합성 H)","ACE 골드선물 레버리지(합성 H)","KIM ACE Synth-Gold Futures Leverage ETF(H)","2015/07/28","S&P GSCI GOLD Index Excess Return","S&P","2X 레버리지 (2)","합성(패시브)","해외","원자재","700000","한국투자신탁운용","100000","0.490","배당소득세(보유기간과세)"
"KR7114460009","114460","한국투자 ACE 국고채 증권 상장지수투자신탁(채권)","ACE 국고채3년","KIM ACE KOREA TB ETF","2009/07/31","KTB INDEX(시장가격)","KRX","일반 (1)","실물(패시브)","국내","채권","270000","한국투자신탁운용","30000","0.150","배당소득세(보유기간과세)"
